Council,Ward Name,Councillor Name,Next Election,Party Name,Electoral Commission Party Code
Islington,Junction,James Potts,2030-05-02,Labour Party,PP53
Islington,Junction,Benjamin Gregg,2030-05-02,Labour Party,PP53
Islington,Laycock,Maia Hamilton,2030-05-02,Labour Party,PP53
Islington,Laycock,Heather Staff,2030-05-02,Labour Party,PP53
Islington,Laycock,Nurullah Turan,2030-05-02,Labour Party,PP53
Islington,Mildmay,Sophia Brown,2030-05-02,Green Party (E&W),PP63
Islington,Mildmay,Jackson Caines,2030-05-02,Green Party (E&W),PP63
Islington,Mildmay,Carlos Valero,2030-05-02,Green Party (E&W),PP63
Islington,St Mary's & St James',Hannah McHugh,2030-05-02,Labour Party,PP53
Islington,St Mary's & St James',Joseph Croft,2030-05-02,Labour Party,PP53
Islington,St Mary's & St James',Saiqa Pandor,2030-05-02,Labour Party,PP53
Islington,St Peter's & Canalside,Martin Klute,2030-05-02,Labour Party,PP53
Islington,St Peter's & Canalside,Toby North,2030-05-02,Labour Party,PP53
Islington,St Peter's & Canalside,Rosaline Ogunro,2030-05-02,Labour Party,PP53
Islington,Tollington,Elmedina Baptista-Mendes,2030-05-02,Green Party (E&W),PP63
Islington,Tollington,Jonathan Ward,2030-05-02,Green Party (E&W),PP63
Islington,Tollington,Alex Nettle,2030-05-02,Green Party (E&W),PP63
Islington,Tufnell Park,Sophia Andersson-Gylden,2030-05-02,Green Party (E&W),PP63
Islington,Tufnell Park,Devon Osborne,2030-05-02,Green Party (E&W),PP63
Islington,Tufnell Park,Sheridan Kates,2030-05-02,Green Party (E&W),PP63
Kensington and Chelsea,Abingdon,Sarah Addenbrooke,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Campden,Catherine Faulks,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,St. Helen's,Billy Beckett,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Earl's Court,Linda Wade,2030-05-02,Liberal Democrats,PP90
Kensington and Chelsea,Notting Dale,Kasim Ali,2030-05-02,Labour Party,PP53
Kensington and Chelsea,St. Helen's,Lucy Shaw,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Chelsea Riverside,Laura Burns,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Notting Dale,Claire Simmons,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Pembridge,Georgia Hardisty,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Royal Hospital,Elizabeth Campbell,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Pembridge,Natacha Ritchie,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Courtfield,Janet Evans,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Brompton & Hans Town,Walaa Idris,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Holland,Lucy Knight,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Chelsea Riverside,Heena Bellara,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Abingdon,Anne Cyron,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Golborne,Nadia Nail,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Campden,Preety Hudd,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Holland,Johnny Thalassites,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Campden,Lloyd North,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Chelsea Riverside,Max Chauhan,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Dalgarno,Abdullahi Nur,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Abingdon,James Husband,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Notting Dale,Portia Thaxter,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Holland,Aarien Areti,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Norland,Marc Goldfinger,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Colville,Monica Press,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Colville,Cihan Cheron,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Queen's Gate,Sam Mackover,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Courtfield,Gregory Hammond,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Golborne,Sina Lari,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Norland,Stéphanie Petit,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Queen's Gate,Max Dodd-Noble,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Redcliffe,Tom Bennett,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Brompton & Hans Town,Sof McVeigh,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Queen's Gate,Ned Whitley,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Stanley,Will Pascall,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Golborne,Peter Marshall,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Colville,Jack Reason,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Royal Hospital,Emma Will,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Redcliffe,Marie-Therese Rossi,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Courtfield,Quentin Marshall,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Earl's Court,James Ortiz,2030-05-02,Liberal Democrats,PP90
Kensington and Chelsea,Stanley,Josh Rendall,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Dalgarno,Alex Porter,2030-05-02,Labour Party,PP53
Kensington and Chelsea,Earl's Court,Sofia Gurrola,2030-05-02,Liberal Democrats,PP90
Kensington and Chelsea,Stanley,Kim Taylor-Smith,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Brompton & Hans Town,Mary Weale,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Royal Hospital,Cem Kemahli,2030-05-02,Conservative and Unionist,PP52
Kensington and Chelsea,Redcliffe,Sidney Yankson,2030-05-02,Conservative and Unionist,PP52
Kingston upon Thames,Alexandra,Ian Manders,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Alexandra,Amir Khan,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Berrylands,Anita Schaper,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Berrylands,Rizwana Malik,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Canbury Gardens,Peter Higgins,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Canbury Gardens,Nicolai Due-Gundersen,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Chessington South & Malden Rushett,Andreas Kirsch,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Chessington South & Malden Rushett,Griseldis Kirsch,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Chessington South & Malden Rushett,Sharukh Mirza,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Coombe Hill,Rowena Bass,2030-05-02,Conservative and Unionist,PP52
Kingston upon Thames,Coombe Hill,Ian George,2030-05-02,Conservative and Unionist,PP52
Kingston upon Thames,Coombe Vale,Kim Bailey,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Coombe Vale,Brian Austen,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Coombe Vale,Andrew Sillett,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Green Lane & St James,James Giles,2030-05-02,Kingston Independent Residents Group,PP6302
Kingston upon Thames,Green Lane & St James,Yvonne Tracey,2030-05-02,Kingston Independent Residents Group,PP6302
Kingston upon Thames,Hook & Chessington North,Joanne Barker,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Hook & Chessington North,Sue Ansari,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Hook & Chessington North,Lorraine Dunstone,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,King George's & Sunray,Helen Grocott,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,King George's & Sunray,Mark Beynon,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Kingston Gate,Sarah Wait-Sillett,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Kingston Gate,Stephen Evans,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Kingston Gate,Mark Manners,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Kingston Town,Roger Hayes,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Kingston Town,Nicola Nardelli,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Kingston Town,Sabah Hamed,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Motspur Park & Old Malden East,Callum Morrissey,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Motspur Park & Old Malden East,Wimal Wimalathasan,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,New Malden Village,Mark Durrant,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,New Malden Village,Lesley Heap,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,New Malden Village,Robert Kim,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Norbiton,Emily Davey,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Norbiton,Olly Wehring,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Norbiton,Sam Foulder-Hughes,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Old Malden,Mike Massimi,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Old Malden,Elizabeth Park,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,St Mark's & Seething Wells,Helen Milestone,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,St Mark's & Seething Wells,Robert Sadler,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,St Mark's & Seething Wells,Yogan Yoganathan,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Surbiton Hill,Alison Holt,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Surbiton Hill,Tom Reeve,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Surbiton Hill,Manish Shukla,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Tolworth,Jane Lim,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Tolworth,Thay Thayalan,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Tolworth,Andrew Wooldridge,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Tudor,Blaise Murphet,2030-05-02,Liberal Democrats,PP90
Kingston upon Thames,Tudor,Sachin Tulyani,2030-05-02,Liberal Democrats,PP90
Lambeth,Brixton Acre Lane,Natalie Kane,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton Acre Lane,Michael Chessum,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton Acre Lane,David Bridson,2030-05-02,Labour Party,PP53
Lambeth,Brixton North,Nanda Manley-Browne,2030-05-02,Labour Party,PP53
Lambeth,Brixton North,Samantha Dorney-Smith,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton North,John-Paul Ennis,2030-05-02,Labour Party,PP53
Lambeth,Brixton Rush Common,Zvikomborero Chihoro,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton Rush Common,Sacha Takyi-Berko,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton Rush Common,Viktor Westerdahl,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton Windrush,Carlotta Allum,2030-05-02,Green Party (E&W),PP63
Lambeth,Brixton Windrush,Serafina Spicer,2030-05-02,Green Party (E&W),PP63
Lambeth,Clapham Common & Abbeville,Simon Cordon,2030-05-02,Liberal Democrats,PP90
Lambeth,Clapham Common & Abbeville,Chris Nicholson,2030-05-02,Liberal Democrats,PP90
Lambeth,Clapham East,Erica Abu,2030-05-02,Labour Party,PP53
Lambeth,Clapham East,Cat Thomson,2030-05-02,Green Party (E&W),PP63
Lambeth,Clapham Park,Verity McGivern,2030-05-02,Labour Party,PP53
Lambeth,Clapham Park,Martin Tiedemann,2030-05-02,Labour Party,PP53
Lambeth,Clapham Park,Joanna Eaves,2030-05-02,Green Party (E&W),PP63
Lambeth,Clapham Town,Linda Bray,2030-05-02,Labour Party,PP53
Lambeth,Clapham Town,Patrick O'Donnell,2030-05-02,Labour Party,PP53
Lambeth,Clapham Town,Jonathan Bartley,2030-05-02,Green Party (E&W),PP63
Lambeth,Gipsy Hill,Pete Elliott,2030-05-02,Green Party (E&W),PP63
Lambeth,Gipsy Hill,Chloe Hawryluk,2030-05-02,Green Party (E&W),PP63
Lambeth,Herne Hill & Loughborough Junction,Ciara Alleyne,2030-05-02,Green Party (E&W),PP63
Lambeth,Herne Hill & Loughborough Junction,Paul Valentine,2030-05-02,Green Party (E&W),PP63
Lambeth,Herne Hill & Loughborough Junction,Alan Andrews,2030-05-02,Green Party (E&W),PP63
Lambeth,Kennington,David Amos,2030-05-02,Labour Party,PP53
Lambeth,Kennington,Dominic Lynch,2030-05-02,Labour Party,PP53
Lambeth,Kennington,Joanne Simpson,2030-05-02,Labour Party,PP53
Lambeth,Knight's Hill,Elizabeth Fraser,2030-05-02,Green Party (E&W),PP63
Lambeth,Knight's Hill,Lisa Schulkind,2030-05-02,Green Party (E&W),PP63
Lambeth,Knight's Hill,Matt Wilcock,2030-05-02,Green Party (E&W),PP63
Lambeth,Myatt's Fields,Patience Clague,2030-05-02,Green Party (E&W),PP63
Lambeth,Myatt's Fields,Annie Gallop,2030-05-02,Labour Party,PP53
Lambeth,Oval,Claire Holland,2030-05-02,Labour Party,PP53
Lambeth,Oval,Diogo Costa,2030-05-02,Labour Party,PP53
Lambeth,Oval,Bryn Scott,2030-05-02,Labour Party,PP53
Lambeth,St Martin's,Jeremy Isaacs,2030-05-02,Green Party (E&W),PP63
Lambeth,St Martin's,Georgina Berriman,2030-05-02,Labour Party,PP53
Lambeth,Stockwell East,Kevin Brown,2030-05-02,Green Party (E&W),PP63
Lambeth,Stockwell East,Tam Langley,2030-05-02,Liberal Democrats,PP90
Lambeth,Stockwell West & Larkhall,Nadia Burrell,2030-05-02,Labour Party,PP53
Lambeth,Stockwell West & Larkhall,David Oxley,2030-05-02,Labour Party,PP53
Lambeth,Stockwell West & Larkhall,Joe Dharampal-Hornby,2030-05-02,Labour Party,PP53
Lambeth,Streatham Common & Vale,Danial Adilypour,2030-05-02,Labour Party,PP53
Lambeth,Streatham Common & Vale,Sarah Cole,2030-05-02,Labour Party,PP53
Lambeth,Streatham Common & Vale,Dom Armstrong,2030-05-02,Labour Party,PP53
Lambeth,Streatham Hill East,Martin Abrams,2030-05-02,Green Party (E&W),PP63
Lambeth,Streatham Hill East,Amelia Shoebridge,2030-05-02,Green Party (E&W),PP63
Lambeth,Streatham Hill West & Thornton,Matthew Bryant,2030-05-02,Liberal Democrats,PP90
Lambeth,Streatham Hill West & Thornton,Kita Ogden,2030-05-02,Liberal Democrats,PP90
Lambeth,Streatham St Leonard's,Scott Ainslie,2030-05-02,Green Party (E&W),PP63
Lambeth,Streatham St Leonard's,Alice Weavers,2030-05-02,Green Party (E&W),PP63
Lambeth,Streatham St Leonard's,Saiqa Ali,2030-05-02,Green Party (E&W),PP63
Lambeth,Streatham Wells,Judy Best,2030-05-02,Liberal Democrats,PP90
Lambeth,Streatham Wells,Simon Bucknall,2030-05-02,Liberal Democrats,PP90
Lambeth,Vauxhall,Jacqueline Bond,2030-05-02,Green Party (E&W),PP63
Lambeth,Vauxhall,David Ford,2030-05-02,Labour Party,PP53
Lambeth,Vauxhall,Liam Daley,2030-05-02,Labour Party,PP53
Lambeth,Waterloo & South Bank,Ibrahim Dogus,2030-05-02,Labour Party,PP53
Lambeth,Waterloo & South Bank,Doug Buist,2030-05-02,Liberal Democrats,PP90
Lambeth,West Dulwich,Tom Palmer,2030-05-02,Green Party (E&W),PP63
Lambeth,West Dulwich,Judith Cavanagh,2030-05-02,Labour Party,PP53
Lewisham,Bellingham,Gavin Moore,2030-05-02,Labour Party,PP53
Lewisham,Bellingham,Nadja Penfold,2030-05-02,Green Party (E&W),PP63
Lewisham,Blackheath,Rebecca Jones,2030-05-02,Green Party (E&W),PP63
Lewisham,Blackheath,Pauline Dall,2030-05-02,Labour Party,PP53
Lewisham,Blackheath,Tracey Martin,2030-05-02,Green Party (E&W),PP63
Lewisham,Brockley,Ade Adewunmi,2030-05-02,Green Party (E&W),PP63
Lewisham,Brockley,El Fry,2030-05-02,Green Party (E&W),PP63
Lewisham,Brockley,Rotimi Skyers,2030-05-02,Green Party (E&W),PP63
Lewisham,Catford South,Briony Edwards,2030-05-02,Green Party (E&W),PP63
Lewisham,Catford South,Oliver Matejka,2030-05-02,Labour Party,PP53
Lewisham,Catford South,Eva Stamirowski,2030-05-02,Labour Party,PP53
Lewisham,Crofton Park,Aaron Regisford,2030-05-02,Green Party (E&W),PP63
Lewisham,Crofton Park,Liam Shrivastava,2030-05-02,Green Party (E&W),PP63
Lewisham,Crofton Park,Natalie Thomas,2030-05-02,Green Party (E&W),PP63
Lewisham,Deptford,Heather Farnworth,2030-05-02,Green Party (E&W),PP63
Lewisham,Deptford,Daniel Jenkins,2030-05-02,Green Party (E&W),PP63
Lewisham,Deptford,Hau-Yu Tam,2030-05-02,Green Party (E&W),PP63
Lewisham,Downham,Andre Bourne,2030-05-02,Labour Party,PP53
Lewisham,Downham,Gloria Lambert-Morris,2030-05-02,Labour Party,PP53
Lewisham,Downham,Oana Olaru-Holmes,2030-05-02,Labour Party,PP53
Lewisham,Evelyn,Leni Candan,2030-05-02,Green Party (E&W),PP63
Lewisham,Evelyn,Dylan Cooper-Stubbs,2030-05-02,Green Party (E&W),PP63
Lewisham,Evelyn,Rudi Schmidt,2030-05-02,Green Party (E&W),PP63
Lewisham,Forest Hill,Peter Bernards,2030-05-02,Labour Party,PP53
Lewisham,Forest Hill,Fergus Navaratnam-Blair,2030-05-02,Green Party (E&W),PP63
Lewisham,Forest Hill,Annabelle Roberts,2030-05-02,Green Party (E&W),PP63
Lewisham,Grove Park,Suzannah Clarke,2030-05-02,Labour Party,PP53
Lewisham,Grove Park,Samantha Gower,2030-05-02,Green Party (E&W),PP63
Lewisham,Grove Park,Hilary Moore,2030-05-02,Labour Party,PP53
Lewisham,Hither Green,Eleonora Aiello,2030-05-02,Green Party (E&W),PP63
Lewisham,Hither Green,Yemisi Anifowose,2030-05-02,Labour Party,PP53
Lewisham,Hither Green,Kim Powell,2030-05-02,Labour Party,PP53
Lewisham,Ladywell,Shireen Asaw,2030-05-02,Green Party (E&W),PP63
Lewisham,Ladywell,Robin McGhee,2030-05-02,Green Party (E&W),PP63
Lewisham,Ladywell,Ed Sutton,2030-05-02,Green Party (E&W),PP63
Lewisham,Lee Green,Ese Erheriene,2030-05-02,Labour Party,PP53
Lewisham,Lee Green,James Rathbone,2030-05-02,Labour Party,PP53
Lewisham,Lee Green,Laura Sessions,2030-05-02,Green Party (E&W),PP63
Lewisham,Lewisham Central,Hibaaq Aden,2030-05-02,Green Party (E&W),PP63
Lewisham,Lewisham Central,Mark Kowalski,2030-05-02,Green Party (E&W),PP63
Lewisham,New Cross Gate,Wellington Gil,2030-05-02,Green Party (E&W),PP63
Lewisham,New Cross Gate,Ruth Persian,2030-05-02,Green Party (E&W),PP63
Lewisham,Perry Vale,Justin Cheadle,2030-05-02,Green Party (E&W),PP63
Lewisham,Perry Vale,Maria McKenna,2030-05-02,Green Party (E&W),PP63
Lewisham,Perry Vale,Mike Podmore,2030-05-02,Green Party (E&W),PP63
Lewisham,Rushey Green,Daniel Dream,2030-05-02,Green Party (E&W),PP63
Lewisham,Rushey Green,Samantha Gardiner,2030-05-02,Green Party (E&W),PP63
Lewisham,Rushey Green,Claire Wills,2030-05-02,Green Party (E&W),PP63
Lewisham,Sydenham,Corin Ashwell,2030-05-02,Green Party (E&W),PP63
Lewisham,Sydenham,Tanya Dunne,2030-05-02,Green Party (E&W),PP63
Lewisham,Sydenham,Markus Michelucci,2030-05-02,Green Party (E&W),PP63
Lewisham,Telegraph Hill,Kate Anderson,2030-05-02,Green Party (E&W),PP63
Lewisham,Telegraph Hill,Becky Sanders,2030-05-02,Green Party (E&W),PP63
Lewisham,Telegraph Hill,Nick Torry,2030-05-02,Green Party (E&W),PP63
Merton,Abbey,John Braithwaite,2030-05-02,Liberal Democrats,PP90
Merton,Abbey,Klaar Dresselaers,2030-05-02,Liberal Democrats,PP90
Merton,Abbey,Barry Smith,2030-05-02,Liberal Democrats,PP90
Merton,Cannon Hill,Richard Poole,2030-05-02,Liberal Democrats,PP90
Merton,Cannon Hill,Asif Ashraf,2030-05-02,Liberal Democrats,PP90
Merton,Cannon Hill,Robert Mitchell,2030-05-02,Liberal Democrats,PP90
Merton,Colliers Wood,Caroline Cooper-Marbiah,2030-05-02,Labour Party,PP53
Merton,Colliers Wood,Stuart Neaverson,2030-05-02,Labour Party,PP53
Merton,Colliers Wood,Joanna Sieradzinska,2030-05-02,Labour Party,PP53
Merton,Cricket Green,Michael Butcher,2030-05-02,Labour Party,PP53
Merton,Cricket Green,Usaama Kaweesa,2030-05-02,Labour Party,PP53
Merton,Cricket Green,Gill Manly,2030-05-02,Labour Party,PP53
Merton,Figge's Marsh,Agatha Akyigyina,2030-05-02,Labour Party,PP53
Merton,Figge's Marsh,Dan Johnston,2030-05-02,Labour Party,PP53
Merton,Figge's Marsh,Franca Ofeimu,2030-05-02,Labour Party,PP53
Merton,Graveney,Linda Kirby,2030-05-02,Labour Party,PP53
Merton,Graveney,Billy Hayes,2030-05-02,Labour Party,PP53
Merton,Graveney,Devina Paul,2030-05-02,Labour Party,PP53
Merton,Hillside,Sarah Golby,2030-05-02,Liberal Democrats,PP90
Merton,Hillside,Daniel Holden,2030-05-02,Conservative and Unionist,PP52
Merton,Lavender Fields,Edith Macauley,2030-05-02,Labour Party,PP53
Merton,Lavender Fields,Harry Platts,2030-05-02,Labour Party,PP53
Merton,Lavender Fields,Slawek Szczepanski,2030-05-02,Labour Party,PP53
Merton,Longthornton,Brenda Fraser,2030-05-02,Labour Party,PP53
Merton,Longthornton,Ross Garrod,2030-05-02,Labour Party,PP53
Merton,Longthornton,Sonia Phillips,2030-05-02,Labour Party,PP53
Merton,Lower Morden,Dan Hogan,2030-05-02,Labour Party,PP53
Merton,Lower Morden,Sally Kenny,2030-05-02,Labour Party,PP53
Merton,Lower Morden,Daniel Shearer,2030-05-02,Labour Party,PP53
Merton,Merton Park,Edward Foley,2030-05-02,Merton Park Ward Independent Residents,PP202
Merton,Merton Park,Stephen Mercer,2030-05-02,Merton Park Ward Independent Residents,PP202
Merton,Pollards Hill,Joan Henry,2030-05-02,Labour Party,PP53
Merton,Pollards Hill,Martin Whelton,2030-05-02,Labour Party,PP53
Merton,Pollards Hill,Ryan Rodrigues,2030-05-02,Labour Party,PP53
Merton,Ravensbury,Stephen Alambritis,2030-05-02,Labour Party,PP53
Merton,Ravensbury,Val Hoppichler,2030-05-02,Labour Party,PP53
Merton,Ravensbury,Peter McCabe,2030-05-02,Labour Party,PP53
Merton,Raynes Park,Victoria Wilson,2030-05-02,Liberal Democrats,PP90
Merton,Raynes Park,Chessie Flack,2030-05-02,Liberal Democrats,PP90
Merton,Raynes Park,Matthew Willis,2030-05-02,Liberal Democrats,PP90
Merton,St Helier,Nedra Daniel,2030-05-02,Labour Party,PP53
Merton,St Helier,Andrew Judge,2030-05-02,Labour Party,PP53
Merton,St Helier,Shuile Syeda,2030-05-02,Labour Party,PP53
Merton,Village,Max Austin,2030-05-02,Conservative and Unionist,PP52
Merton,Village,Jan Comer,2030-05-02,Conservative and Unionist,PP52
Merton,Village,Will Orson,2030-05-02,Conservative and Unionist,PP52
Merton,Wandle,Sebastian Budner,2030-05-02,Labour Party,PP53
Merton,Wandle,Eleanor Stringer,2030-05-02,Labour Party,PP53
Merton,West Barnes,Hina Bokhari,2030-05-02,Liberal Democrats,PP90
Merton,West Barnes,Mariam Hakim,2030-05-02,Liberal Democrats,PP90
Merton,West Barnes,Robert Page,2030-05-02,Liberal Democrats,PP90
Merton,Wimbledon Park,Jil Hall,2030-05-02,Liberal Democrats,PP90
Merton,Wimbledon Park,Tony Reiss,2030-05-02,Liberal Democrats,PP90
Merton,Wimbledon Park,Nick Thomas,2030-05-02,Liberal Democrats,PP90
Merton,Wimbledon Town & Dundonald,Samantha MacArthur,2030-05-02,Liberal Democrats,PP90
Merton,Wimbledon Town & Dundonald,Anthony Fairclough,2030-05-02,Liberal Democrats,PP90
Merton,Wimbledon Town & Dundonald,Simon McGrath,2030-05-02,Liberal Democrats,PP90
Newham,Beckton,Syed Ahmed,2030-05-02,Labour Party,PP53
Newham,Beckton,Tonii Wilson,2030-05-02,Labour Party,PP53
Newham,Beckton,Blossom Young,2030-05-02,Labour Party,PP53
Newham,Boleyn,Muhammad Aziz,2030-05-02,Newham Independents Party,PP17713
Newham,Boleyn,Moniba Khan,2030-05-02,Newham Independents Party,PP17713
Newham,Boleyn,Mehmood Mirza,2030-05-02,Newham Independents Party,PP17713
Newham,Canning Town North,Imogen Anderson,2030-05-02,Green Party (E&W),PP63
Newham,Canning Town North,Aleya Hussain,2030-05-02,Labour Party,PP53
Newham,Canning Town North,Shaban Mohammed,2030-05-02,Labour Party,PP53
Newham,Canning Town South,Aderonke Benson,2030-05-02,Labour Party,PP53
Newham,Canning Town South,Rohit Dasgupta,2030-05-02,Labour Party,PP53
Newham,Canning Town South,John Morris,2030-05-02,Labour Party,PP53
Newham,Custom House,Heather Lafferty,2030-05-02,Labour Party,PP53
Newham,Custom House,Thelma Odoi,2030-05-02,Labour Party,PP53
Newham,Custom House,Simon Rush,2030-05-02,Labour Party,PP53
Newham,East Ham,Abdul Halim,2030-05-02,Newham Independents Party,PP17713
Newham,East Ham,Syed Naqvi,2030-05-02,Newham Independents Party,PP17713
Newham,East Ham,Begum Sahera,2030-05-02,Newham Independents Party,PP17713
Newham,East Ham South,Sanawar Hussain,2030-05-02,Labour Party,PP53
Newham,East Ham South,Susan Masters,2030-05-02,Labour Party,PP53
Newham,East Ham South,Lakmini Shah,2030-05-02,Labour Party,PP53
Newham,Forest Gate North,Matthew Carlile,2030-05-02,Green Party (E&W),PP63
Newham,Forest Gate North,Rachel Tripp,2030-05-02,Labour Party,PP53
Newham,Forest Gate South,Arshan Baskaran,2030-05-02,Green Party (E&W),PP63
Newham,Forest Gate South,Zahra Kheyre,2030-05-02,Green Party (E&W),PP63
Newham,Forest Gate South,Jack Pickard,2030-05-02,Green Party (E&W),PP63
Newham,Green Street East,Sunny Chowdhury,2030-05-02,Newham Independents Party,PP17713
Newham,Green Street East,Zakir Hossain,2030-05-02,Newham Independents Party,PP17713
Newham,Green Street East,Rohima Rahman,2030-05-02,Labour Party,PP53
Newham,Green Street West,Idris Ibrahim,2030-05-02,Newham Independents Party,PP17713
Newham,Green Street West,Rumana Liza,2030-05-02,Newham Independents Party,PP17713
Newham,Green Street West,Qasim Yaseen,2030-05-02,Newham Independents Party,PP17713
Newham,Little Ilford,Tahir Mirza,2030-05-02,Newham Independents Party,PP17713
Newham,Little Ilford,Oli Rahman,2030-05-02,Newham Independents Party,PP17713
Newham,Little Ilford,Nasreen Shamima,2030-05-02,Newham Independents Party,PP17713
Newham,Manor Park,Imam Haque,2030-05-02,Labour Party,PP53
Newham,Manor Park,Salema Khatun,2030-05-02,Labour Party,PP53
Newham,Manor Park,Salim Patel,2030-05-02,Labour Party,PP53
Newham,Maryland,Kelly Drake,2030-05-02,Green Party (E&W),PP63
Newham,Maryland,Ren Tilbury,2030-05-02,Green Party (E&W),PP63
Newham,Plaistow North,Nizam Ali,2030-05-02,Newham Independents Party,PP17713
